Fecha;TRAMO HORARIO;Nm Tot Victimas;DISTRITO;Lugar;Numero;Tipo Accidente;Tipo Vehiculo
01/01/2018 0:00;DE 13:00 A 13:59;1;ARGANZUELA                    ;CALLE DE ANCORA - PASEO DE LAS DELICIAS                                                             ;;COLISIÓN DOBLE                          ;BICICLETA                               
01/01/2018 0:00;DE 15:00 A 15:59;2;CENTRO                        ;CALLE DE ALCALA                                                                                 ;44;ATROPELLO                               ;BICICLETA                               
02/01/2018 0:00;DE 12:00 A 12:59;2;SALAMANCA                     ;CALLE DE SERRANO - CALLE DEL CONDE DE ARANDA                                                        ;;ATROPELLO                               ;BICICLETA                               
03/01/2018 0:00;DE 13:00 A 13:59;1;SALAMANCA                     ;PLAZA DE LA INDEPENDENCIA                                                                       ;5;COLISIÓN DOBLE                          ;BICICLETA                               
03/01/2018 0:00;DE 15:00 A 15:59;1;CIUDAD LINEAL                 ;CALLE DE RAMIREZ DE ARELLANO                                                                    ;35;COLISIÓN DOBLE                          ;BICICLETA                               
03/01/2018 0:00;DE 22:00 A 22:59;1;LATINA                        ;CALLE DE SEGOVIA - PASEO DE EXTREMADURA                                                             ;;COLISIÓN DOBLE                          ;BICICLETA                               
04/01/2018 0:00;DE 8:00 A 8:59;1;LATINA                        ;CALLE DE LOS YEBENES - CALLE DE SEPULVEDA                                                           ;;CAÍDA MOTOCICLETA                       ;BICICLETA                               
04/01/2018 0:00;DE 9:00 A 9:59;1;SAN BLAS                      ;AVENIDA DE CANILLEJAS A VICALVARO - CALLE DE LOS HERMANOS GARCIA NOBLEJAS                           ;;CAÍDA BICICLETA                         ;BICICLETA                               
04/01/2018 0:00;DE 15:00 A 15:59;1;VILLA DE VALLECAS             ;CALLE DE LA SIERRA DE TORNAVACAS - CALLE DE SAN JAIME                                               ;;COLISIÓN DOBLE                          ;BICICLETA                               
04/01/2018 0:00;DE 20:00 A 20:59;1;CIUDAD LINEAL                 ;CALLE DE GERMAN PEREZ CARRASCO - CALLE DEL DOCTOR VALLEJO                                           ;;ATROPELLO                               ;BICICLETA                               
